title,author(s),retail_price,discounted/sale_price,isbn10,book_type,number_of_pages,input_isbn
A Christmas Carol,Charles Dickens,8.55,7.99,0553897055,ePUB,,9780553897050
The Silk Merchant's Daughter,Dinah Jefferies,15.99,15.99,0241975905,ePUB,400.0,9780241975909
The Brightest Star in the Sky,Marian Keyes,15.99,15.99,0141958308,ePUB,640.0,9780141958309
Things Fall Apart,Chinua Achebe,15.99,15.99,0141393963,ePUB,176.0,9780141393964
The Challenger Sale,Matthew Dixon|Brent Adamson,18.99,18.99,0670922862,ePUB,240.0,9780670922864
Berlin,Antony Beevor,15.99,15.99,0141903023,ePUB,528.0,9780141903026
Dottir,Katrin Davidsdottir|Rory McKernan,19.51,15.99,1250142652,ePUB,,9781250142658
The David Raker Collection Books 1-3,Tim Weaver,19.99,19.99,1405917318,ePUB,1142.0,9781405917315
Fool Moon : Dresden Files,Jim Butcher,12.99,12.99,0748116079,ePUB,400.0,9780748116072
Lost Innocence,Susan Lewis,15.99,15.99,1409064913,ePUB,656.0,9781409064916
Triptych,Karin Slaughter,15.99,15.99,1407008390,ePUB,528.0,9781407008394
The Hazel Wood,Melissa Albert,12.99,12.99,0141388676,ePUB,400.0,9780141388670
Good As Dead,Mark Billingham,12.99,12.99,0748120483,ePUB,352.0,9780748120482
Zero to One,Blake Masters|Peter Thiel,18.99,18.99,075355030X,ePUB,224.0,9780753550304
First Light,Geoffrey Wellum,15.99,15.99,0241984335,ePUB,352.0,9780241984338
The Other People,C. J. Tudor,15.99,15.99,1405939648,ePUB,400.0,9781405939645
The Woman Who Stole My Life,Marian Keyes,15.99,15.99,0718179579,ePUB,500.0,9780718179571
12 Rules for Life,Jordan B. Peterson,15.99,15.99,0241351650,ePUB,448.0,9780241351659
Touching the Void,Joe Simpson,9.48,9.48,0957519303,ePUB,,9780957519305
The Revenge of Seven,Pittacus Lore,15.99,15.99,1405913630,ePUB,400.0,9781405913638
The Growing Pains of Adrian Mole,Sue Townsend,15.99,15.99,0718196120,ePUB,352.0,9780718196127
I Know Why The Caged Bird Sings,Dr Maya Angelou,12.99,12.99,0748122346,ePUB,320.0,9780748122349
Fast Lane,Kristen Ashley,7.36,7.36,0463228456,ePUB,,9780463228456
The Anatomist's Wife,Anna Lee Huber,17.14,13.99,1101612320,ePUB,368.0,9781101612323
Nancy Drew 21,Carolyn Keene,14.66,11.99,1101077220,ePUB,192.0,9781101077221
Miracle on Regent Street,Ali Harris,13.99,13.99,085720291X,ePUB,496.0,9780857202918
